"industry","n_adj","applicability_adj","ci_low_adj","ci_high_adj","p_value_adj","bh_significant_adj","n_raw","applicability_raw","ci_low_raw","ci_high_raw","p_value_raw","bh_significant_raw","delta_applicability"
"造紙工業","7","0.42857142857142855","0.14285714285714285","0.8571428571428571","0.6562687462507498","0","7","0.7142857142857143","0.42857142857142855","1.0","0.10617876424715057","0","0.28571428571428575"
"貿易百貨","17","0.5294117647058824","0.29411764705882354","0.7647058823529411","0.39592081583683264","0","17","0.5882352941176471","0.35294117647058826","0.8235294117647058","0.22695460907818435","0","0.05882352941176472"
"塑膠工業","24","0.375","0.20833333333333334","0.5833333333333334","0.9246150769846031","0","24","0.5416666666666666","0.3333333333333333","0.75","0.4117176564687063","0","0.16666666666666663"
"資訊服務業","33","0.15151515151515152","0.030303030303030304","0.2727272727272727","1.0","0","33","0.18181818181818182","0.06060606060606061","0.3333333333333333","1.0","0","0.030303030303030304"
"農業科技業","3","0.3333333333333333","0.0","1.0","0.7270545890821836","0","3","0.6666666666666666","0.0","1.0","0.262747450509898","0","0.3333333333333333"
"運動休閒","13","0.38461538461538464","0.15384615384615385","0.6153846153846154","0.7996400719856028","0","13","0.46153846153846156","0.23076923076923078","0.7692307692307693","0.6136772645470906","0","0.07692307692307693"
"運動休閒類","8","0.25","0.0","0.625","0.9734053189362127","0","8","0.375","0.0","0.75","0.8640271945610878","0","0.125"
"電子工業","13","0.6153846153846154","0.38461538461538464","0.8461538461538461","0.1941611677664467","0","13","0.46153846153846156","0.23076923076923078","0.6923076923076923","0.6130773845230953","0","-0.15384615384615385"
"電子通路業","34","0.20588235294117646","0.08823529411764706","0.35294117647058826","1.0","0","34","0.17647058823529413","0.058823529411764705","0.3235294117647059","1.0","0","-0.02941176470588233"
"電子零組件業","189","0.32275132275132273","0.25396825396825395","0.3915343915343915","1.0","0","191","0.34554973821989526","0.2774869109947644","0.41361256544502617","1.0","0","0.02279841546857253"
"電腦及週邊設備業","101","0.22772277227722773","0.1485148514851485","0.31683168316831684","1.0","0","101","0.32673267326732675","0.2376237623762376","0.4158415841584158","0.9998000399920016","0","0.09900990099009901"
"電器電纜","16","0.25","0.0625","0.5","0.9922015596880623","0","16","0.25","0.0625","0.5","0.9904019196160768","0","0"
"電機機械","82","0.3902439024390244","0.2923780487804879","0.5","0.9822035592881424","0","82","0.5487804878048781","0.43902439024390244","0.6585365853658537","0.21475704859028194","0","0.1585365853658537"
"綠能環保","9","0.3333333333333333","0.0","0.6666666666666666","0.8574285142971406","0","9","0.3333333333333333","0.1111111111111111","0.6666666666666666","0.850629874025195","0","0"
"綠能環保類","10","0.0","0.0","0.0","1.0","0","10","0.2","0.0","0.5","0.9934013197360528","0","0.2"
"數位雲端","4","0.25","0.0","0.75","0.9478104379124175","0","4","0.25","0.0","0.75","0.9482103579284143","0","0"
