stock_id,industry,is_listed,is_otc,train_trading_days,test_trading_days,included,industry_snapshot_date,industry_reference_date,stock_name
4533,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,協易機
4534,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,慶騰
4535,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,至興
4536,運動休閒,1,0,0,0,0,2026-03-05,2026-03-05,拓凱
4538,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,大詠城
4540,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,全球傳動
4541,其他,0,1,0,0,0,2026-03-05,2026-03-05,晟田
4542,電子零組件業,0,1,0,0,0,2026-03-05,2026-03-05,科嶠
4543,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,萬在
4545,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,銘鈺
4549,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,桓達
4550,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,長佳
4551,汽車工業,1,0,0,0,0,2026-03-05,2026-03-05,智伸科
4552,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,力達-KY
4554,其他電子類,0,1,0,0,0,2026-03-05,2026-03-05,橙的
4555,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,氣立
4556,其他,0,1,0,0,0,2026-03-05,2026-03-05,旭然
4557,汽車工業,1,0,0,0,0,2026-03-05,2026-03-05,永新-KY
4558,電機機械,0,1,0,0,0,2026-03-05,2026-03-05,寶緯
4560,電機機械,1,0,0,0,0,2026-03-05,2026-03-05,強信-KY
4561,電機機械,0,1,510,1697,1,2026-03-05,2026-03-05,健椿
4562,電機機械,1,0,711,1697,1,2026-03-05,2026-03-05,穎漢
4563,電機機械,0,1,555,1686,1,2026-03-05,2026-03-05,百德
4564,電機機械,1,0,476,1701,0,2026-03-05,2026-03-05,元翎
4566,電機機械,1,0,440,1701,0,2026-03-05,2026-03-05,時碩工業
4568,電機機械,0,1,260,1624,0,2026-03-05,2026-03-05,科際精密
4569,汽車工業,1,0,0,587,0,2026-03-05,2026-03-05,六方科-KY
4571,電機機械,1,0,0,1530,0,2026-03-05,2026-03-05,鈞興-KY
4572,電機機械,1,0,110,1699,0,2026-03-05,2026-03-05,駐龍
4576,電機機械,1,0,46,1701,0,2026-03-05,2026-03-05,大銀微系統
4577,其他電子類,0,1,0,1176,0,2026-03-05,2026-03-05,達航科技
4580,電機機械,0,1,12,1697,0,2026-03-05,2026-03-05,捷流閥業
4581,汽車工業,1,0,0,1406,0,2026-03-05,2026-03-05,光隆精密-KY
4583,電機機械,1,0,0,1231,0,2026-03-05,2026-03-05,台灣精銳
4584,電機機械,0,1,0,938,0,2026-03-05,2026-03-05,君帆
4585,其他電子業,1,0,0,308,0,2026-03-05,2026-03-05,達明
4588,其他電子業,1,0,0,765,0,2026-03-05,2026-03-05,玖鼎電力
4590,電機機械,1,0,0,280,0,2026-03-05,2026-03-05,富田-創
4609,居家生活類,0,1,2093,1503,1,2026-03-05,2026-03-05,唐鋒
4702,居家生活類,0,1,2207,1689,1,2026-03-05,2026-03-05,中美實
4706,化學工業,0,1,2202,1632,1,2026-03-05,2026-03-05,大恭
4707,化學工業,0,1,2223,1701,1,2026-03-05,2026-03-05,磐亞
4711,化學工業,0,1,2200,1673,1,2026-03-05,2026-03-05,永純
4712,食品工業,0,1,2213,1061,1,2024-02-08,2026-03-05,南璋
4714,化學工業,0,1,2222,1701,1,2026-03-05,2026-03-05,永捷
4716,化學工業,0,1,2222,1700,1,2026-03-05,2026-03-05,大立
4720,化學生技醫療,1,0,2223,1701,1,2026-03-05,2026-03-05,德淵
4721,化學工業,0,1,2223,1701,1,2026-03-05,2026-03-05,美琪瑪
4722,化學生技醫療,1,0,2223,1701,1,2026-03-05,2026-03-05,國精化
4725,化學生技醫療,1,0,0,0,0,2026-03-02,2026-03-05,信昌化
4726,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,永昕
4728,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,雙美
4729,光電業,0,1,0,0,0,2026-03-05,2026-03-05,熒茂
4733,化學生技醫療,1,0,0,0,0,2024-12-03,2026-03-05,上緯
4735,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,豪展
4736,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,泰博
4737,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,華廣
4739,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,康普
4741,化學工業,0,1,0,0,0,2026-03-05,2026-03-05,泓瀚
4743,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,合一
4744,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,皇將
4745,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,合富-KY
4746,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,台耀
4747,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,強生
4749,半導體業,0,1,0,0,0,2026-03-05,2026-03-05,新應材
4754,化學工業,0,1,0,0,0,2026-03-05,2026-03-05,國碳科
4755,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,三福化
4760,其他電子類,0,1,0,0,0,2026-03-05,2026-03-05,勤凱
4763,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,材料*-KY
4764,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,雙鍵
4766,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,南寶
4767,化學工業,0,1,0,0,0,2026-03-05,2026-03-05,誠泰科技
4768,化學工業,0,1,0,0,0,2026-03-05,2026-03-05,晶呈科技
4770,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,上品
4771,化學生技醫療,1,0,0,0,0,2026-03-05,2026-03-05,望隼
4772,化學工業,0,1,0,0,0,2026-03-05,2026-03-05,台特化
4803,文化創意業,0,1,0,0,0,2021-12-18,2026-03-05,VHQ-KY
4804,觀光餐旅,0,1,0,0,0,2026-03-05,2026-03-05,大略-KY
4806,文化創意業,0,1,0,0,0,2026-03-05,2026-03-05,桂田文創
4807,貿易百貨,1,0,0,0,0,2026-03-05,2026-03-05,日成-KY
4903,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,聯光通
4904,通信網路業,1,0,0,0,0,2026-03-05,2026-03-05,遠傳
4905,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,台聯電
4906,通信網路業,1,0,0,0,0,2026-03-05,2026-03-05,正文
4907,建材營造,0,1,0,0,0,2026-03-05,2026-03-05,富宇
4908,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,前鼎
4909,通信網路業,0,1,0,0,0,2026-03-05,2026-03-05,新復興
4911,生技醫療業,0,1,0,0,0,2026-03-05,2026-03-05,德英
4912,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,聯德控股-KY
4915,電子零組件業,1,0,0,0,0,2026-03-05,2026-03-05,致伸
4916,電腦及週邊設備業,1,0,2090,1701,1,2026-03-05,2026-03-05,事欣科
4919,半導體業,1,0,2200,1700,1,2026-03-05,2026-03-05,新唐
4923,半導體業,0,1,629,1681,1,2026-03-05,2026-03-05,力士
4924,電腦及週邊設備業,0,1,2016,1684,1,2026-03-05,2026-03-05,欣厚-KY
4927,電子零組件業,1,0,2059,1701,1,2026-03-05,2026-03-05,泰鼎-KY
4930,電器電纜,1,0,2101,1694,1,2026-03-05,2026-03-05,燦星網
4931,電腦及週邊設備業,0,1,929,1697,1,2026-03-05,2026-03-05,新盛力
4933,光電業,0,1,2141,1701,1,2026-03-05,2026-03-05,友輝
4934,光電業,1,0,2182,1694,1,2026-03-05,2026-03-05,太極
4935,光電業,1,0,1836,1701,1,2026-03-05,2026-03-05,茂林-KY
4938,電腦及週邊設備業,1,0,2108,1700,1,2026-03-05,2026-03-05,和碩
4939,電子零組件業,0,1,2124,1700,1,2026-03-05,2026-03-05,亞電
4942,光電業,1,0,2126,1701,1,2026-03-05,2026-03-05,嘉彰
4943,電子零組件業,1,0,1119,1686,1,2026-03-05,2026-03-05,康控-KY
4944,光電業,0,1,2109,1132,1,2023-10-27,2026-03-05,兆遠
4945,半導體業,0,1,0,1496,0,2025-09-04,2026-03-05,陞達科技
4946,文化創意業,0,1,2084,1673,1,2026-03-05,2026-03-05,辣椒
4949,光電業,1,0,1635,715,1,2026-03-05,2026-03-05,有成精密
4950,鋼鐵工業,0,1,1999,1416,1,2026-03-05,2026-03-05,金耘國際
4951,半導體業,0,1,1601,1683,1,2026-03-05,2026-03-05,精拓科
4952,半導體業,1,0,2056,1701,1,2026-03-05,2026-03-05,凌通
4953,資訊服務業,0,1,1876,1701,1,2026-03-05,2026-03-05,緯軟
4956,光電業,1,0,2019,1701,1,2026-03-05,2026-03-05,光鋐
4958,電子零組件業,1,0,1730,1700,1,2026-03-05,2026-03-05,臻鼎-KY
4960,光電業,1,0,2061,1694,1,2026-03-05,2026-03-05,誠美材
4961,半導體業,1,0,2044,1694,1,2026-03-05,2026-03-05,天鈺
4966,半導體業,0,1,1803,1700,1,2026-03-05,2026-03-05,譜瑞-KY
4967,半導體業,1,0,1358,1694,1,2026-03-05,2026-03-05,十銓
4968,半導體業,1,0,1893,1701,1,2026-03-05,2026-03-05,立積
4971,半導體業,0,1,1341,1700,1,2026-03-05,2026-03-05,IET-KY
