stock_id,industry,best_short,best_long,fee_bps,table,test_total_return_strategy,test_total_return_bh,test_outperform,test_sharpe_strategy,test_mdd_strategy,test_excess_return
3040,其他,10,20,10.0,price_daily,1.0197339072856808,0.8145695364238219,1,0.5237113416612177,-0.304004566990709,0.2051643708618589
3284,其他,10,20,10.0,price_daily,0.8095442475944814,0.3993399339934032,1,0.44135578569398587,-0.48652773464114774,0.41020431360107823
3313,其他,10,20,10.0,price_daily,-0.6038131372452771,-0.31468531468531413,0,-0.2528421607620103,-0.775928243186013,-0.28912782255996294
5209,其他,10,20,10.0,price_daily,3.16796259839444,3.0361445783132286,1,1.0110479074489351,-0.31993349128978577,0.13181802008121135
5276,其他,10,20,10.0,price_daily,-0.05155372078535847,0.4218009478672953,0,0.14232448224145897,-0.3966526069520637,-0.47335466865265374
5284,其他,10,20,10.0,price_daily,3.5557578150131928,4.301886792452839,0,0.8818997306687759,-0.3525604289132481,-0.7461289774396462
5314,其他,10,20,10.0,price_daily,12.181679481383688,25.021220159151323,0,0.7986806949363556,-0.9506771472359471,-12.839540677767635
5345,其他,10,20,10.0,price_daily,0.03266656698991355,2.058064516129046,0,0.1916851498238936,-0.5164860281481116,-2.0253979491391325
5398,其他,10,20,10.0,price_daily,-0.359195332017742,0.2470023980815308,0,-0.15489707945146408,-0.5263996616957114,-0.6061977300992728
5450,其他,10,20,10.0,price_daily,0.31944448453159735,0.4667338709677309,0,0.28354935122416147,-0.41370754462497417,-0.14728938643613354
5481,其他,10,20,10.0,price_daily,0.1503519331412595,0.16410256410256485,0,0.20929516148979901,-0.2964266537881691,-0.013750630961305355
5530,其他,10,20,10.0,price_daily,-0.1310904620106237,-0.16014234875444877,1,-0.03240437152446771,-0.4320626648823851,0.029051886743825084
5604,其他,10,20,10.0,price_daily,0.43971320786748813,0.24705882352941377,1,0.3903459227479627,-0.5685089812680791,0.19265438433807436
5871,其他,10,20,10.0,price_daily,0.21822132077815848,0.08875128998968296,1,0.2431257725543314,-0.5249214461246907,0.12947003078847552
6179,其他,10,20,10.0,price_daily,-0.5788119355685843,-0.1657060518731993,0,-0.40343341847391856,-0.6417095942412127,-0.41310588369538503
6184,其他,10,20,10.0,price_daily,0.0202190930462538,0.4132352941176478,0,0.07940614912421477,-0.159150388388257,-0.393016201071394
6199,其他,10,20,10.0,price_daily,3.089489517938514,6.152317880794676,0,0.7833743264597942,-0.5158777380452537,-3.0628283628561626
6236,其他,10,20,10.0,price_daily,0.367264651033552,-0.06304347826087131,1,0.4432158895600063,-0.4545948203575235,0.4303081292944233
6464,其他,10,20,10.0,price_daily,-0.41854480421874507,-0.32456140350877094,0,-0.831111121490605,-0.463023513739231,-0.09398340070997413
6504,其他,10,20,10.0,price_daily,-0.3364944601336033,-0.734294871794871,1,-0.16993812383982082,-0.5809058261050445,0.39780041166126767
8342,其他,10,20,10.0,price_daily,0.08240611596946423,1.1001251564455496,0,0.16047509678992955,-0.27543289379846203,-1.0177190404760854
